id_municipio,alunos,taxa_prevista,taxa_real_2024,meta_2025,meta_2030,nome,sigla_uf,gap_previsto_meta_2025
2924504,120,0.45341208675408484,0.38333333333333336,73.83,80.0,Pindaí,BA,-28.488791324591517
2411502,145,0.4275439826177957,0.3586206896551724,70.8,80.0,Santo Antônio,RN,-28.045601738220427
1300060,176,0.4087745623392073,0.6477272727272727,68.27,80.0,Amaturá,AM,-27.39254376607927
2501104,212,0.5267375473847439,0.9056603773584906,80.0,80.0,Areia,PB,-27.326245261525614
2807501,115,0.28239896929204256,0.4,54.75,80.0,Tomar do Geru,SE,-26.510103070795743
1716208,120,0.28441965502753275,0.6833333333333333,54.33,80.0,Paranã,TO,-25.888034497246725
2922409,139,0.39974842448999437,0.4892086330935252,65.42,80.0,Mutuípe,BA,-25.445157551000563
2512903,231,0.5310795849755638,0.47186147186147187,78.47,80.0,Rio Tinto,PB,-25.362041502443617
2407807,209,0.4156785332229149,0.5119617224880383,65.96,80.0,Monte Alegre,RN,-24.392146677708503
2931350,1367,0.36880075020326086,0.35040234089246525,61.04,80.0,Teixeira de Freitas,BA,-24.15992497967391
1502764,155,0.3601460891487821,0.45161290322580644,59.86,80.0,Cumaru do Norte,PA,-23.84539108512179
2925956,173,0.34888434324923834,0.3352601156069364,58.68,80.0,Rafael Jambeiro,BA,-23.791565675076164
2923001,481,0.40499244965058745,0.37214137214137216,64.09,80.0,Nova Viçosa,BA,-23.59075503494126
2516904,124,0.5651978991763609,0.45161290322580644,80.0,80.0,Uiraúna,PB,-23.48021008236391
2923803,196,0.37733450578937533,0.3979591836734694,61.04,80.0,Paripiranga,BA,-23.306549421062464
1502509,196,0.3323669625024275,0.7397959183673469,56.14,80.0,Chaves,PA,-22.903303749757256
2904308,147,0.3959739980759621,0.47619047619047616,62.14,80.0,Brejões,BA,-22.54260019240379
2928406,259,0.35205399808647475,0.3204633204633205,57.66,80.0,Santa Rita de Cássia,BA,-22.45460019135252
2908606,167,0.3081840025593391,0.281437125748503,53.1,80.0,Conde,BA,-22.281599744066092
2917201,191,0.4264576527423113,0.4397905759162304,64.85,80.0,Ituaçu,BA,-22.204234725768863
2913507,108,0.37368700494477713,0.3148148148148148,59.47,80.0,Iguaí,BA,-22.101299505522285
2506707,100,0.4921940695063882,0.42,71.23,80.0,Imaculada,PB,-22.010593049361184
2918803,110,0.35431584793725734,0.45454545454545453,57.42,80.0,Laje,BA,-21.98841520627427
2926707,122,0.382676195244782,0.5573770491803278,60.08,80.0,Rio de Contas,BA,-21.8123804755218
2901007,249,0.38814660293660297,0.5100401606425703,60.51,80.0,Amargosa,BA,-21.695339706339702
2902807,265,0.36461657016366733,0.4716981132075472,58.1,80.0,Barra da Estiva,BA,-21.638342983633265
2911709,776,0.37453173675302154,0.4639175257731959,58.8,80.0,Guanambi,BA,-21.346826324697844
2504801,106,0.49856969569969023,0.49056603773584906,71.18,80.0,Coremas,PB,-21.323030430030983
2917102,104,0.36674432746397256,0.28846153846153844,57.97,80.0,Itororó,BA,-21.29556725360274
2913408,101,0.43456431170762333,0.42574257425742573,64.62,80.0,Igaporã,BA,-21.16356882923767
2803906,128,0.2717539801583603,0.375,48.29,80.0,Malhador,SE,-21.114601984163972
