id_municipio,alunos,soma_rw,soma_w,taxa_real_2024,risco_previsto,nome,sigla_uf
2907202,430,337.40261348221804,430.0,0.20930232558139536,0.784657240656321,Casa Nova,BA
1703842,148,126.66237983455291,167.16,0.38513513513513514,0.7577313940808382,Campos Lindos,TO
2805406,345,298.0990079395324,395.97,0.26666666666666666,0.7528323053249801,Poço Redondo,SE
2919603,146,109.0932535194105,146.0,0.3013698630136986,0.7472140652014417,Macajuba,BA
2803609,219,181.37637344183918,244.06,0.2648401826484018,0.7431630477826731,Laranjeiras,SE
2924405,391,289.9800542886845,391.0,0.22506393861892582,0.7416369674902418,Pilão Arcado,BA
2803401,137,102.00161509504301,138.1,0.39416058394160586,0.7386069159670022,Japoatã,SE
2801207,462,353.8846551009413,479.21,0.2683982683982684,0.7384751050707233,Canindé de São Francisco,SE
2901908,230,169.1098799897098,230.0,0.16521739130434782,0.735260347781347,Aporá,BA
2803203,351,291.9031432875176,397.32,0.396011396011396,0.7346802156637411,Itaporanga d'Ajuda,SE
2804805,1790,1467.3835544982908,2002.49,0.29720670391061454,0.7327794668129632,Nossa Senhora do Socorro,SE
2904704,140,102.43008151240858,140.0,0.2857142857142857,0.731643439374347,Buerarema,BA
2804201,169,128.74369015536735,176.0,0.35502958579881655,0.7314982395191326,Monte Alegre de Sergipe,SE
2803906,128,101.28445643957527,139.08,0.375,0.7282460198416397,Malhador,SE
2804003,123,97.51814419455107,133.99,0.3089430894308943,0.7278016582920447,Maruim,SE
2910503,255,185.02021749735013,255.0,0.3254901960784314,0.7255694803817653,Entre Rios,BA
2922250,118,85.42713269590624,118.0,0.22033898305084745,0.7239587516602224,Muquém de São Francisco,BA
2800506,149,120.15127904997144,166.17000000000002,0.44966442953020136,0.7230624002525813,Areia Branca,SE
2932457,122,88.20563379613257,122.0,0.22950819672131148,0.7229969983289555,Umburanas,BA
2800670,166,142.63280731820754,198.01,0.35542168674698793,0.7203313333579493,Boquim,SE
2800704,139,102.34350412146513,142.08,0.34532374100719426,0.7203230864404921,Brejo Grande,SE
2805604,228,179.43840029912664,249.21,0.17543859649122806,0.7200288924967965,Porto da Folha,SE
2804904,106,84.94683232943073,118.0,0.3018867924528302,0.719888409571447,Pacatuba,SE
2801702,185,137.59426195612028,191.14000000000001,0.34594594594594597,0.7198611591300631,Cristinápolis,SE
1505205,373,338.3569373429452,470.55,0.3136729222520107,0.7190669160406867,Oeiras do Pará,PA
2907004,115,82.65816743435478,115.0,0.33043478260869563,0.7187666733422154,Cardeal da Silva,BA
1502806,510,493.71172848436294,687.82,0.25882352941176473,0.717792050949904,Curralinho,PA
2932200,151,108.37885364879183,151.0,0.31125827814569534,0.7177407526410056,Ubaitaba,BA
2807501,115,85.43757871608942,119.06,0.4,0.7176010307079574,Tomar do Geru,SE
2930501,487,348.94292431927323,487.0,0.19917864476386038,0.7165152450087746,Serrinha,BA
2800605,279,232.07660886874626,324.09,0.27956989247311825,0.7160869168093624,Barra dos Coqueiros,SE
1716208,120,91.61575156682498,128.03,0.6833333333333333,0.7155803449724673,Paranã,TO
2802908,787,631.8723049520601,883.12,0.40025412960609913,0.7154999376665233,Itabaiana,SE
2414209,216,186.0650562945182,261.17,0.25462962962962965,0.7124289018436964,Tibau do Sul,RN
2905305,135,96.06477580018816,135.0,0.3037037037037037,0.7115909318532456,Cafarnaum,BA
2923704,233,165.67009689697224,233.0,0.2446351931330472,0.7110304587852886,Paratinga,BA
2906824,156,110.89636385877665,156.0,0.30128205128205127,0.7108741272998503,Canudos,BA
2916500,326,231.6026584868014,326.0,0.5122699386503068,0.7104376027202497,Itapicuru,BA
2921500,251,177.97421240700206,251.0,0.2749003984063745,0.7090606071992114,Monte Santo,BA
2917003,247,175.09018737376178,247.0,0.21052631578947367,0.7088671553593594,Itiúba,BA
2910859,136,95.66511233177616,136.0,0.36764705882352944,0.7034199436160011,Filadélfia,BA
2901353,109,76.66116956948753,109.0,0.28440366972477066,0.7033134822888764,Andorinha,BA
2915809,252,177.11412679481222,252.0,0.2698412698412698,0.7028338364873501,Itambé,BA
2414407,278,242.54756487606616,345.15,0.38489208633093525,0.7027308847633382,Touros,RN
2801504,148,116.619266029974,166.05,0.16216216216216217,0.7023141585665401,Carmópolis,SE
2914000,415,290.96995718860467,415.0,0.344578313253012,0.7011324269604932,Ipirá,BA
2918506,122,85.53424647478062,122.0,0.4344262295081967,0.7011003809408247,Jussara,BA
2913705,229,160.4508948268033,229.0,0.30131004366812225,0.7006589293746869,Inhambupe,BA
2906808,332,232.2231681094724,332.0,0.2319277108433735,0.699467373823712,Cansanção,BA
2918100,193,134.9217504873193,193.0,0.29533678756476683,0.6990764273954367,Jeremoabo,BA
2905602,191,133.44333264460178,191.0,0.24607329842931938,0.6986561918565538,Camacan,BA
2807600,184,148.6880933814894,213.03,0.391304347826087,0.697967860777775,Umbaúba,SE
2405801,277,241.54175995252191,346.09,0.36462093862815886,0.6979160332645321,João Câmara,RN
2925253,173,120.56673572379417,173.0,0.3699421965317919,0.6969175475363825,Ponto Novo,BA
2408300,176,151.28516932481773,217.21,0.2840909090909091,0.6964926537674035,Nova Cruz,RN
2907103,316,220.0206029471415,316.0,0.31962025316455694,0.6962677308453845,Carinhanha,BA
2920908,101,70.25778819367385,101.0,0.26732673267326734,0.6956216652838995,Mascote,BA
